시설명,공원명,위치,면수,시설면적,총 면적,관리기관,관리자연락처,데이터기준일자
족구장,다람산,진안동,3,1008,4248,화성도시공사 체육시설1부,031-355-1292,2024-12-31
축구장,다람산,진안동,1,2940,4248,화성도시공사 체육시설1부,031-355-1292,2024-12-31
게이트볼장,다람산,진안동,1,300,4248,화성도시공사 체육시설1부,031-355-1292,2024-12-31
농구장,구봉산근린공원,병점동,1,360,1904,화성도시공사 체육시설1부,031-355-1292,2024-12-31
배드민턴장,구봉산근린공원,병점동,3,1044,1904,화성도시공사 체육시설1부,031-355-1292,2024-12-31
게이트볼장,구봉산근린공원,병점동,1,500,1904,화성도시공사 체육시설1부,031-355-1292,2024-12-31
배드민턴장,병점근린공원(4호),병점동,2,260,260,화성도시공사 체육시설1부,031-355-1292,2024-12-31
배드민턴장,종이비행기,진안동,3,260,260,화성도시공사 체육시설1부,031-355-1292,2024-12-31
족구장,물빛공원,진안동,1,112,252,화성도시공사 체육시설1부,031-355-1292,2024-12-31
농구장,물빛공원,진안동,1,140,252,화성도시공사 체육시설1부,031-355-1292,2024-12-31
게이트볼장,반월1호공원(현대1호),반월동,1,530,910,화성도시공사 체육시설1부,031-355-1292,2024-12-31
풋살구장,반월1호공원(현대1호),반월동,1,380,910,화성도시공사 체육시설1부,031-355-1292,2024-12-31
배드민턴장,반월2호공원(현대2호),반월동,2,260,260,화성도시공사 체육시설1부,031-355-1292,2024-12-31
테니스장,야생초공원,기안동,1,950,950,화성도시공사 체육시설1부,031-355-1292,2024-12-31
테니스장,해피트리공원,기안동,1,640,640,화성도시공사 체육시설1부,031-355-1292,2024-12-31
게이트볼장,틀뫼1호공원,기산동,1,300,300,화성도시공사 체육시설1부,031-355-1292,2024-12-31
배드민턴장,두산위브1호공원,반월동,2,230,230,화성도시공사 체육시설1부,031-355-1292,2024-12-31
풋살구장,대우푸르지오 공원,반월동,1,684,684,화성도시공사 체육시설1부,031-355-1292,2024-12-31
게이트볼장,나눔공원,기안동,1,400,400,화성도시공사 체육시설1부,031-355-1292,2024-12-31
농구장,진안공공공지,진안동,1,740,2140,화성도시공사 체육시설1부,031-355-1292,2024-12-31
테니스장,진안공공공지,진안동,2,1400,2140,화성도시공사 체육시설1부,031-355-1292,2024-12-31
인라인스케이트장,개나리공원,반송동,1,392,692,화성도시공사 체육시설1부,031-355-1292,2024-12-31
농구장,개나리공원,반송동,1,300,692,화성도시공사 체육시설1부,031-355-1292,2024-12-31
배드민턴장,동탄구봉산공원,능동 ,1,218,592,화성도시공사 체육시설1부,031-355-1292,2024-12-31
게이트볼장,동탄구봉산공원,능동 ,1,374,592,화성도시공사 체육시설1부,031-355-1292,2024-12-31
축구장,동탄센트럴파크,반송동,1,6150,21599,화성도시공사 체육시설1부,031-355-1292,2024-12-31
풋살구장,동탄센트럴파크,반송동,2,2200,21599,화성도시공사 체육시설1부,031-355-1292,2024-12-31
게이트볼장,동탄센트럴파크,반송동,2,1288,21599,화성도시공사 체육시설1부,031-355-1292,2024-12-31
테니스장,동탄센트럴파크,반송동,6,3564,21599,화성도시공사 체육시설1부,031-355-1292,2024-12-31
X게임장,동탄센트럴파크,반송동,1,3825,21599,화성도시공사 체육시설1부,031-355-1292,2024-12-31
농구장,동탄센트럴파크,반송동,3,1734,21599,화성도시공사 체육시설1부,031-355-1292,2024-12-31
기타체육,동탄센트럴파크,반송동,1,360,21599,화성도시공사 체육시설1부,031-355-1292,2024-12-31
배드민턴장,동탄센트럴파크,반송동,6,1092,21599,화성도시공사 체육시설1부,031-355-1292,2024-12-31
인라인스케이트장,동탄센트럴파크,반송동,1,1386,21599,화성도시공사 체육시설1부,031-355-1292,2024-12-31
농구장,솔빛공원,반송동,1,694,1346,화성도시공사 체육시설1부,031-355-1292,2024-12-31
족구장,솔빛공원,반송동,1,272,1346,화성도시공사 체육시설1부,031-355-1292,2024-12-31
배드민턴장,솔빛공원,반송동,2,380,1346,화성도시공사 체육시설1부,031-355-1292,2024-12-31
게이트볼장,탄요유적공원,반송동,2,828,828,화성도시공사 체육시설1부,031-355-1292,2024-12-31
풋살구장,큰재봉공원,석우동,1,2973,4171,화성도시공사 체육시설1부,031-355-1292,2024-12-31
배드민턴장,큰재봉공원,석우동,4,648,4171,화성도시공사 체육시설1부,031-355-1292,2024-12-31
농구장,큰재봉공원,석우동,1,550,4171,화성도시공사 체육시설1부,031-355-1292,2024-12-31
농구장,한반저류지,석우동,1,980,980,화성도시공사 체육시설1부,031-355-1292,2024-12-31
테니스장,금반저류지,반송동,1,700,1490,화성도시공사 체육시설1부,031-355-1292,2024-12-31
족구장,금반저류지,반송동,2,790,1490,화성도시공사 체육시설1부,031-355-1292,2024-12-31
축구장,인곡1저류지,능동 ,1,3840,4400,화성도시공사 체육시설1부,031-355-1292,2024-12-31
다목적구장,인곡1저류지,능동 ,1,560,4400,화성도시공사 체육시설1부,031-355-1292,2024-12-31
배드민턴장,능리저류지,능동 ,3,593,593,화성도시공사 체육시설1부,031-355-1292,2024-12-31
배드민턴장,벌말체육공원,병점동,2,343,1070,화성도시공사 체육시설1부,031-355-1292,2024-12-31
족구장,벌말체육공원,병점동,1,337,1070,화성도시공사 체육시설1부,031-355-1292,2024-12-31
게이트볼장,벌말체육공원,병점동,1,390,1070,화성도시공사 체육시설1부,031-355-1292,2024-12-31
축구장,동학산 11호 공원(동학산),석우동,1,6800,6800,화성도시공사 체육시설1부,031-355-1292,2024-12-31
축구장,동학산 14호 공원(돌모루),석우동,1,5335,10935,화성도시공사 체육시설1부,031-355-1292,2024-12-31
테니스장,동학산 14호 공원(돌모루),석우동,8,5600,10935,화성도시공사 체육시설1부,031-355-1292,2024-12-31
배드민턴장,동탄배드민턴장,여울로,10,1337,1337,화성도시공사 체육시설1부,031-355-1292,2024-12-31
배드민턴장,독재울공원,능동 ,1,160,160,화성도시공사 체육시설1부,031-355-1292,2024-12-31
족구장,손바닥공원,능동 ,1,140,690,화성도시공사 체육시설1부,031-355-1292,2024-12-31
농구장,손바닥공원,능동 ,1,550,690,화성도시공사 체육시설1부,031-355-1292,2024-12-31
인라인스케이트장,하나어린이공원(동탄1호),능동 ,1,550,550,화성도시공사 체육시설1부,031-355-1292,2024-12-31
농구장,샘물공원(동탄2호),능동 ,1,160,160,화성도시공사 체육시설1부,031-355-1292,2024-12-31
농구장,슬기샘공원(동탄4호어린이),반송동,1,120,815,화성도시공사 체육시설1부,031-355-1292,2024-12-31
인라인스케이트장,슬기샘공원(동탄4호어린이),반송동,1,695,815,화성도시공사 체육시설1부,031-355-1292,2024-12-31
농구장,느치미공원,병점동,1,210,210,화성도시공사 체육시설1부,031-355-1292,2024-12-31
농구장,해오름공원(현대5호),반월동,1,160,160,화성도시공사 체육시설1부,031-355-1292,2024-12-31
농구장,광도아파트공원,기안동,1,240,240,화성도시공사 체육시설1부,031-355-1292,2024-12-31
농구장,송방공원(동탄산단5호),방교동,1,190,190,화성도시공사 체육시설1부,031-355-1292,2024-12-31
풋살구장,행복근린공원,반월동,1,810,810,화성도시공사 체육시설1부,031-355-1292,2024-12-31
풋살구장,너른공원,방교동,1,400,810,화성도시공사 체육시설1부,031-355-1292,2024-12-31
게이트볼장,너른공원,방교동,1,410,810,화성도시공사 체육시설1부,031-355-1292,2024-12-31
인라인스케이트장,하늘빛공원,석우동,1,560,560,화성도시공사 체육시설1부,031-355-1292,2024-12-31
축구장,동탄2근린공원8호,청계동,1,4600,4600,화성도시공사 체육시설1부,031-355-1292,2024-12-31
축구장,동탄2지구 제1호 체육공원(치동천 체육공원),영천동,1,6336,9977,화성도시공사 체육시설1부,031-355-1292,2024-12-31
풋살구장,동탄2지구 제1호 체육공원(치동천 체육공원),영천동,1,1125,9977,화성도시공사 체육시설1부,031-355-1292,2024-12-31
게이트볼장,동탄2지구 제1호 체육공원(치동천 체육공원),영천동,2,374,9977,화성도시공사 체육시설1부,031-355-1292,2024-12-31
테니스장,동탄2지구 제1호 체육공원(치동천 체육공원),영천동,2,1428,9977,화성도시공사 체육시설1부,031-355-1292,2024-12-31
농구장,동탄2지구 제1호 체육공원(치동천 체육공원),영천동,2,714,9977,화성도시공사 체육시설1부,031-355-1292,2024-12-31
축구장,동탄2지구 수질복원센터내,방교동,1,7140,28985,화성도시공사 체육시설1부,031-355-1292,2024-12-31
풋살구장,동탄2지구 수질복원센터내,방교동,2,800,28985,화성도시공사 체육시설1부,031-355-1292,2024-12-31
파크골프장,동탄2지구 수질복원센터내,방교동,18,21045,28985,화성도시공사 체육시설1부,031-355-1292,2024-12-31
테니스장,동탄 예당마을내,석우동,3,1800,1800,화성도시공사 체육시설1부,031-355-1292,2024-12-31
야구장,동탄 예당마을내,석우동,1,1800,1800,화성도시공사 체육시설1부,031-355-1292,2024-12-31
족구장,동탄 예당마을내,석우동,1,1800,1800,화성도시공사 체육시설1부,031-355-1292,2024-12-31
기타체육,병점1동 간이운동시설,병점동,1,450,450,화성도시공사 체육시설1부,031-355-1292,2024-12-31
족구장,지방도311호선 교량하부 체육시설(영천교 하부 체육시설),영천동,4,2060,2060,화성도시공사 체육시설1부,031-355-1292,2024-12-31
축구장,동탄2 제3호 체육공원장지 체육공원,장지동,1,3750,7661,화성도시공사 체육시설1부,031-355-1292,2024-12-31
농구장,동탄2 제3호 체육공원장지 체육공원,장지동,1,608,7661,화성도시공사 체육시설1부,031-355-1292,2024-12-31
기타체육,동탄2 제3호 체육공원장지 체육공원,장지동,1,2520,7661,화성도시공사 체육시설1부,031-355-1292,2024-12-31
족구장,동탄2 제3호 체육공원장지 체육공원,장지동,2,783,7661,화성도시공사 체육시설1부,031-355-1292,2024-12-31
배드민턴장,동탄2 크린에너지센터 실내체육시설,동탄대로,6,1215,1215,화성도시공사 체육시설1부,031-355-1292,2024-12-31
배드민턴장,동탄 물류단지 배드민턴장,신동 ,2,816,816,화성도시공사 체육시설1부,031-355-1292,2024-12-31
게이트볼장,화산동 동네체육시설,안녕동,2,924,1769,화성도시공사 체육시설1부,031-355-1292,2024-12-31
족구장,화산동 동네체육시설,안녕동,2,400,1769,화성도시공사 체육시설1부,031-355-1292,2024-12-31
풋살구장,화산동 동네체육시설,안녕동,1,445,1769,화성도시공사 체육시설1부,031-355-1292,2024-12-31
풋살구장,진안동 풋살장,진안동,1,668,668,화성도시공사 체육시설1부,031-355-1292,2024-12-31
축구장,동탄 여울공원,오산동,1,13041,18098.5,화성도시공사 체육시설1부,031-355-1292,2024-12-31
배드민턴장,동탄 여울공원,오산동,2,505.2,18098.5,화성도시공사 체육시설1부,031-355-1292,2024-12-31
농구장,동탄 여울공원,오산동,1,713,18098.5,화성도시공사 체육시설1부,031-355-1292,2024-12-31
족구장,동탄 여울공원,오산동,1,716,18098.5,화성도시공사 체육시설1부,031-355-1292,2024-12-31
풋살구장,동탄 여울공원,오산동,1,983.3,18098.5,화성도시공사 체육시설1부,031-355-1292,2024-12-31
테니스장,동탄 여울공원,오산동,3,2140,,화성도시공사 체육시설1부,031-355-1292,2024-12-31
게이트볼장,기배역사공원,기안동,1,382,382,화성도시공사 체육시설1부,031-355-1292,2024-12-31
축구장,반월체육센터,반월동,1,6741,8390,화성도시공사 체육시설1부,031-355-1292,2024-12-31
족구장,반월체육센터,반월동,2,1034,8390,화성도시공사 체육시설1부,031-355-1292,2024-12-31
농구장,반월체육센터,반월동,1,615,8390,화성도시공사 체육시설1부,031-355-1292,2024-12-31
축구장,동탄2 제2호 체육공원,산척동,1,3960,5312,화성도시공사 체육시설1부,031-355-1292,2024-12-31
기타체육,동탄2 제2호 체육공원,산척동,1,992,5312,화성도시공사 체육시설1부,031-355-1292,2024-12-31
배드민턴장,동탄2 제2호 체육공원,산척동,2,360,5312,화성도시공사 체육시설1부,031-355-1292,2024-12-31
축구장,"동탄2 제2호 근린공원(이음터, 선납숲공원)",영천동,1,3872,5591.2,화성도시공사 체육시설1부,031-355-1292,2024-12-31
기타체육,"동탄2 제2호 근린공원(이음터, 선납숲공원)",영천동,1,879.2,5591.2,화성도시공사 체육시설1부,031-355-1292,2024-12-31
농구장,"동탄2 제2호 근린공원(이음터, 선납숲공원)",영천동,1,640,5591.2,화성도시공사 체육시설1부,031-355-1292,2024-12-31
기타체육,"동탄2 제2호 근린공원(이음터, 선납숲공원)",영천동,1,200,5591.2,화성도시공사 체육시설1부,031-355-1292,2024-12-31
배드민턴장,동탄2 제11호 근린공원,오산동,1,242.804,242.804,화성도시공사 체육시설1부,031-355-1292,2024-12-31
다목적구장,동탄2 제13호 근린공원,오산동,1,362.5596,362.5596,화성도시공사 체육시설1부,031-355-1292,2024-12-31
게이트볼장,동탄2 제14호 근린공원,산척동,1,320,320,화성도시공사 체육시설1부,031-355-1292,2024-12-31
축구장,동탄2 제19호 근린공원(이음터)<목동중 이음터>,목동 ,1,2552,3367.8,화성도시공사 체육시설1부,031-355-1292,2024-12-31
기타체육,동탄2 제19호 근린공원(이음터)<목동중 이음터>,목동 ,1,690.8,3367.8,화성도시공사 체육시설1부,031-355-1292,2024-12-31
기타체육,동탄2 제19호 근린공원(이음터)<목동중 이음터>,목동 ,1,125,3367.8,화성도시공사 체육시설1부,031-355-1292,2024-12-31
족구장,동탄2 제20호 근린공원,송동 ,2,891,891,화성도시공사 체육시설1부,031-355-1292,2024-12-31
배드민턴장,동탄2 제21호 근린공원,산척동,1,180,180,화성도시공사 체육시설1부,031-355-1292,2024-12-31
배드민턴장,능동 제4호 어린이공원,능동 ,1,162,162,화성도시공사 체육시설1부,031-355-1292,2024-12-31
농구장,동탄 물류단지,신동 ,1,222.308,302.308,화성도시공사 체육시설1부,031-355-1292,2024-12-31
배드민턴장,동탄 물류단지,신동 ,1,80,302.308,화성도시공사 체육시설1부,031-355-1292,2024-12-31
배드민턴장,제23호 근린공원생활체육마당,송동 ,1,125,339,화성도시공사 체육시설1부,031-355-1292,2024-12-31
농구장,제23호 근린공원생활체육마당,송동 ,1,214,339,화성도시공사 체육시설1부,031-355-1292,2024-12-31
인라인스케이트장,제24호 근린공원송방3교(동탄대로)하부,산척동,1,,364,화성도시공사 체육시설1부,031-355-1292,2024-12-31
농구장,제24호 근린공원송방3교(동탄대로)하부,산척동,2,364,364,화성도시공사 체육시설1부,031-355-1292,2024-12-31
풋살구장,제24호 근린공원생활체육마당,산척동,1,1075,1709,화성도시공사 체육시설1부,031-355-1292,2024-12-31
농구장,제24호 근린공원생활체육마당,산척동,1,317,1709,화성도시공사 체육시설1부,031-355-1292,2024-12-31
배드민턴장,제24호 근린공원생활체육마당,산척동,2,317,1709,화성도시공사 체육시설1부,031-355-1292,2024-12-31
축구장,제24호 근린공원복합운동장<<송방천>>,산척동,1,2356,3445,화성도시공사 체육시설1부,031-355-1292,2024-12-31
기타체육,제24호 근린공원복합운동장<<송방천>>,산척동,1,697,3445,화성도시공사 체육시설1부,031-355-1292,2024-12-31
농구장,제24호 근린공원복합운동장<<송방천>>,산척동,1,392,3445,화성도시공사 체육시설1부,031-355-1292,2024-12-31
배드민턴장,제30호 근린공원,장지동,2,290,290,화성도시공사 체육시설1부,031-355-1292,2024-12-31
X게임장,근린공원 13호(신리천공원),목동 ,1,1038.13,2576.13,화성도시공사 체육시설1부,031-355-1292,2024-12-31
인라인스케이트장,근린공원 13호(신리천공원),목동 ,1,1538,,화성도시공사 체육시설1부,031-355-1292,2024-12-31
농구장,방아다리공원,방교동,1,608,1108,화성도시공사 체육시설1부,031-355-1292,2024-12-31
족구장,방아다리공원,방교동,1,500,1108,화성도시공사 체육시설1부,031-355-1292,2024-12-31
야구장,동탄 소라공원,방교동,1,16000,16078,화성도시공사 체육시설1부,031-355-1292,2024-12-31
배드민턴장,동탄 소라공원,방교동,1,78,16078,화성도시공사 체육시설1부,031-355-1292,2024-12-31
농구장,서작현 어린이공원,송산동,1,407,512,화성도시공사 체육시설1부,031-355-1292,2024-12-31
배드민턴장,서작현 어린이공원,송산동,1,105,512,화성도시공사 체육시설1부,031-355-1292,2024-12-31
실내체육관,다람산공원 다목적체육관,진안동,1,998,998,화성도시공사 체육시설1부,031-355-1292,2024-12-31
실내체육관,동탄 다목적체육관,반송동,1,999,999,화성도시공사 체육시설1부,031-355-1292,2024-12-31
실내체육관,기배 다목적체육관,기안남,1,1088,1088,화성도시공사 체육시설1부,031-355-1292,2024-12-31
