개소,공원종류,권역,공원명,위치,조성연도,  조성면적  ,관리기관,관리자 연락처,데이터기준일자
1,근린공원,1동탄,독재울공원, 능동 1084,2008,11841 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
2,근린공원,1동탄,개나리공원," 반송동 12, 28, 29",2008,14768 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
3,근린공원,1동탄,하늘빛공원," 석우동 50, 57",2008,10727 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
4,근린공원,1동탄,"동탄 구봉산공원(나래울, 코끼리)", 능동 1128,2008,99329 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
5,근린공원,1동탄,큰재봉공원, 석우동 45,2008,243926 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
6,근린공원,1동탄,동학산공원, 석우동 29-3,2008,60075 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
7,근린공원,1동탄,손바닥공원, 능동 1118,2008,13590 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
8,근린공원,1동탄,동탄13호 근린공원(초록공원), 석우동 21-8,2008,19679 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
9,근린공원,1동탄,동탄14호 근린공원(돌모루공원)," 석우동 4, 7-1, 17",2008,46917 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
10,근린공원,1동탄,능동생활도시숲공원," 능동 1121, 1124-1",2023,10792 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
11,어린이공원,1동탄,동탄1호 어린이공원,능동 1097-1,2008,1594 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
12,어린이공원,1동탄,동탄2호 어린이공원,능동 1166,2008,1515 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
13,어린이공원,1동탄,동탄6호 어린이공원,석우동 14-1,2008,2213 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
14,어린이공원,1동탄,능동지구 제3호 어린이공원,능동 1282-1,2018,1562 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
15,어린이공원,1동탄,능동지구 제4호 어린이공원,능동 1283-3,2018,2086 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
16,수변공원,1동탄,석우리천 공원," 석우동 45,45-1,-2,-3,-4,-5일원",2008,36758 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
17,쌈지공원,1동탄,석우동 쌈지공원,석우동 65일원,2014,1710 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
18,쌈지공원,1동탄,능동 쌈지공원,"능동 1221-1번지, 1014-2번지",2018,586 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
19,저류지공원,1동탄,인곡1 저류지 (저류지1호), 능동 1106,2008,8534 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
20,저류지공원,1동탄,능리 저류지 (저류지2호)," 능동 1172, -1, -2",2008,7193 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
21,저류지공원,1동탄,한반 저류지 (저류지3호), 석우동 1-8,2008,5837 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
22,경관광장,1동탄,미관광장 1호, 능동 1100-1,2008,384 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
23,경관광장,1동탄,미관광장 2호, 능동 1080 -1,2008,230 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
24,경관광장,1동탄,미관광장 3호, 능동 1081-2,2008,474 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
25,경관광장,1동탄,미관광장 4호, 능동 1115-2,2008,407 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
26,경관광장,1동탄,미관광장 5호, 능동 1153-13,2008,247 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
27,경관광장,1동탄,미관광장 6호, 반송동 38-1,2008,1176 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
28,경관광장,1동탄,미관광장 7호, 반송동 35-1,2008,726 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
29,경관광장,1동탄,미관광장 8호, 반송동 34-1,2008,749 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
30,경관광장,1동탄,미관광장 9호, 반송동 7-13,2008,781 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
31,경관광장,1동탄,미관광장 10호, 반송동 23,2008,975 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
32,경관광장,1동탄,미관광장 11호, 반송동 22-1,2008,708 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
33,경관광장,1동탄,미관광장 12호, 반송동 19-2,2008,789 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
34,경관광장,1동탄,미관광장 13호, 반송동 71-1,2008,272 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
35,경관광장,1동탄,미관광장 19호, 반송동 84-2,2008,772 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
36,경관광장,1동탄,미관광장 20호, 석우동 55-2,2008,256 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
37,경관광장,1동탄,미관광장 21호, 석우동 56-2,2008,272 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
38,경관광장,1동탄,미관광장 22호, 반송동 83-2,2008,401 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
39,경관광장,1동탄,미관광장 23호, 석우동 56-4 ,2008,184 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
40,경관광장,1동탄,미관광장 24호, 석우동 58-2,2008,208 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
41,경관광장,1동탄,미관광장 25호(북광장), 반송동 88-7,2008,5228 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
42,경관광장,1동탄,미관광장 26호(남광장), 반송동 104-7,2008,5419 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
43,경관광장,1동탄,미관광장 27호, 반송동 102-3,2008,381 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
44,경관광장,1동탄,미관광장 37호, 능동 1113-7,2008,240 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
45,경관광장,1동탄,미관광장 38호, 능동 1114-7,2008,208 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
46,경관광장,1동탄,미관광장 39호, 반송동 41-7,2008,137 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
47,경관광장,1동탄,미관광장 40호, 반송동 43-7,2008,159 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
48,경관광장,1동탄,미관광장 41호, 동탄면 석우리 22,2008,6463 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
49,경관광장,1동탄,미관광장 42호, 능동 1090,2008,3525 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
50,공공공지,1동탄,동탄1호 공공공지,"능동 1052-7,1502-8,1065-4,1065-5",2008,2817 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
51,공공공지,1동탄,동탄2호 공공공지,"능동 1093-14,1100-14,1205-1",2008,4045 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
52,공공공지,1동탄,동탄4호 공공공지,"석우동 18-9,3-7",2008,1293 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
53,공공공지,1동탄,동탄6호 공공공지,"능동 1129-1,1138-9,1143-13,1142-4,1145-6,1146-7,1149-9",2008,2656 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
54,공공공지,1동탄,동탄7호 공공공지,"석우동 59-6,58-1",2008,1911 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
55,근린공원,2동탄,너른공원(동탄산단2호근린),"방교동 762,763,764",2014,17496 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
56,근린공원,2동탄,송리공원(동탄산단4호근린),"방교동 857,839-8",2014,13796 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
57,근린공원,2동탄,송방공원(동탄산단5호근린),방교동 861,2014,13826 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
58,근린공원,2동탄,동지공원(동탄산단6호근린),"방교동 802-1,802-2,805-3",2014,16370 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
59,근린공원,2동탄,방아다리공원(동탄산단1호근린),"방교동 876-2, 876-4, 873-2, 873-3",2014,40452 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
60,근린공원,1동탄,노작공원,"반송동 108, 108-1석우동 63,64, 64-1",2008,656736 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
61,근린공원,1동탄,솔빛공원, 반송동 138,2008,13076 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
62,근린공원,1동탄,육탄10용사 기념공원," 반송동 159-6, 141-1",2008,19662 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
63,근린공원,1동탄,탄요유적공원," 반송동 198-1, 202, 207",2008,47066 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
64,근린공원,1동탄,방교공원(11호 근린공원),"오산동 1012-2,오산동 1014-1,1016, 1029-5, 1079-1",2018,41098 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
65,어린이공원,1동탄,동탄3호 어린이공원(나래어린이공원), 반송동 153,2008,2116 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
66,어린이공원,1동탄,동탄4호 어린이공원(새강어린이공원), 반송동 175-2,2008,1566 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
67,어린이공원,1동탄,동탄5호 어린이공원(옹달샘공원), 반송동 119 ,2008,1826 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
68,체육공원,2동탄,소라공원(동탄산단3호근린),"방교동 799, 799-1, 800-10",2014,34591 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
69,쌈지공원,2동탄,방교동 쌈지공원,방교동 872-178,2023,1181 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
70,저류지공원,1동탄,반송 저류지 (저류지 5호), 반송동 735번지 일원,2008,7531 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
71,저류지공원,1동탄,금반 저류지 (저류지 6호), 반송동 633-1번지 일원,2008,8179 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
72,경관광장,1동탄,미관광장 14호, 반송동 159-2,2008,946 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
73,경관광장,1동탄,미관광장 15호, 반송동 190-1,2008,504 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
74,경관광장,1동탄,미관광장 16호, 반송동 175-3,2008,442 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
75,경관광장,1동탄,미관광장 17호, 반송동 215-2,2008,1066 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
76,경관광장,1동탄,미관광장 18호, 반송동 135-2,2008,963 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
77,경관광장,1동탄,미관광장 28호, 반송동 140-3,2008,379 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
78,경관광장,1동탄,미관광장 29호, 반송동 132-1,2008,371 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
79,경관광장,1동탄,미관광장 30호, 반송동 132-3,2008,506 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
80,경관광장,1동탄,미관광장 31호, 반송동 132-6,2008,894 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
81,경관광장,1동탄,미관광장 32호, 반송동 118-8,2008,715 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
82,경관광장,1동탄,미관광장 33호, 반송동 131-29,2008,421 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
83,경관광장,1동탄,미관광장 34호, 반송동 222-2,2008,904 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
84,경관광장,1동탄,미관광장 35호, 반송동 126-4,2008,347 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
85,경관광장,1동탄,미관광장 36호, 반송동 192-1,2008,412 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
86,경관광장,1동탄,미관광장 43호, 반송동 42-4,2008,851 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
87,경관광장,1동탄,미관광장 44호, 반송동 200-4,2008,331 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
88,공공공지,1동탄,동탄3호 공공공지," 반송동 77-12,142-1",2008,501 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
89,근린공원,2동탄,선납숲공원(2호 근린공원),"영천동 897,영천동 862-4, 875-3, 511-43, 506-7, 506-6, 506-14, 506-8, 506-9, 506-1, 99-14, 99-8, 99-10, 영천동 산21-1, 847-7, 837-1, 833-1, 826-4, 825-6, 829-1, 823-5",2020,268405 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
90,근린공원,2동탄,치동천 1호(4호 근린공원),"영천동660,영천 816, 816-1, 817, 817-1, 42,영천동 636-256, 425-27",2015,60588 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
91,근린공원,2동탄,치동천 2호 공원(5호 근린공원),"영천동 664-1, 665-1, 735",2015,45136 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
92,근린공원,2동탄,치동천 3호 공원(6호 근린공원),"영천동 677-1, 728, 728-2, 729, 737, 782, 783 ",2015,57249 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
93,근린공원,2동탄,돌모루근린공원(동탄2_3호근린공원),"영천동 816-2, 815-1 ",2018,17407 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
94,근린공원,2동탄,돌모루근린공원(동탄2_3호근린공원),영천동 821-7,2023,23812 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
95,근린공원,2동탄,영천공원,"영천동 887, 866-3",2023,50312 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
96,어린이공원,2동탄,안골 어린이공원(동탄2지구 1호 어린이공원),영천동 740-11,2015,3956 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
97,소공원,2동탄,4호 소공원(지산말),영천동 688-9,2016,1398 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
98,소공원,2동탄,5호 소공원(지산향기),영천동 704-8,2016,1412 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
99,소공원,2동탄,7호 소공원(한울),영천동 776,2016,1176 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
100,소공원,2동탄,제1호 소공원,"영천동 857-5, 855-8",2023,7776 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
101,체육공원,2동탄,치동천체육공원,영천동 670-2공 일원,2015,90800 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
102,수변공원,2동탄,풀무골 수변공원,증동 310번지 일원,2021,5700 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
103,쌈지공원,2동탄,중리 쌈지공원,중동 827,2015,802 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
104,경관광장,2동탄,동탄2 택지 광장 1호(지산말광장),영천동 681-10,2015,620 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
105,공공공지,2동탄,동탄2시범단지 공공공지 9호,영천동 673-8,2015,367 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
106,공공공지,2동탄,동탄2시범단지 공공공지 10호,영천동 717,2015,1532 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
107,공공공지,2동탄,동탄2시범단지 공공공지 11호,영천동 717,2015,1296 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
108,공공공지,2동탄,동탄2시범단지 공공공지 13호(A),영천동 662-1,2015,4437 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
109,공공공지,2동탄,동탄2시범단지 공공공지 13호(B),영천동 672-2,2015,1402 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
110,공공공지,2동탄,동탄2시범단지 공공공지 13호(C),영천동 700-6,2015,3491 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
111,공공공지,2동탄,동탄2시범단지 공공공지 13호(D),영천동 677-1,2015,2578 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
112,공공공지,2동탄,동탄2시범단지 공공공지 15호,영천동 662-1,2015,426 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
113,공공공지,2동탄,동탄2시범단지 공공공지 16호,영천동 681-9,2015,169 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
114,공공공지,2동탄,동탄2시범단지 공공공지 17호,영천동 700-6,2015,307 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
115,공공공지,2동탄,동탄2시범단지 공공공지 18호,"영천동 701-14, 703-11, 711-8",2015,1581 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
116,공공공지,2동탄,동탄2시범단지 공공공지 35호(A),영천동 766-9,2015,3060 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
117,공공공지,2동탄,동탄2시범단지 공공공지 35호(B),영천동 745-14,2015,2685 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
118,공공공지,2동탄,동탄2시범단지 공공공지 40호,영천동 746-0,2015,828 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
119,공공공지,2동탄,동탄2시범단지 공공공지 41호,영천동 739-11,2015,49 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
120,공공공지,2동탄,동탄2시범단지 공공공지 42호,영천동747-10,2015,113 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
121,공공공지,2동탄,동탄2시범단지 공공공지 43호,영천동 749-16,2015,41 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
122,공공공지,2동탄,동탄2시범단지 공공공지 44호,영천동 750-11,2015,2988 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
123,공공공지,2동탄,동탄2시범단지 공공공지 45호,"영천동757-6, 763-6, 760-11, 766-10",2015,959 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
124,공공공지,2동탄,동탄2시범단지 공공공지 47호,영천동 652-6,2015,2526 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
125,공공공지,2동탄,동탄2시범단지 공공공지 47호(E),영천동662-1,2015,1943 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
126,공공공지,2동탄,공공공지 13호,"영천동 823-9, 821-4",2023,4323 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
127,공공공지,2동탄,동탄2지구 공공공지 14호,영천동 790-1,2019,402 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
128,공공공지,2동탄,동탄2지구 공공공지 31호,"영천동 790-1, 789-1, 801-7, 797-7, 792-8",2019,4257 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
129,공공공지,2동탄,공공공지 3호,"영천동 819-2, 819-4",2023,3005 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
130,공공공지,2동탄,공공공지 1호,"영천동 822-3, 824-5, 825-4, 820-8, 820-3",2023,54696 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
131,공공공지,2동탄,공공공지 4호,영천동 858-1,2023,70 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
132,공공공지,2동탄,공공공지 5호,영천동 882-6,2023,2313 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
133,공공공지,2동탄,공공공지 6호,"영천동 823-10, 823-9",2023,9532 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
134,공공공지,2동탄,공공공지 7호,영천동 899-2,2023,1339 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
135,공공공지,2동탄,공공공지 8호,"영천동 895-1, 896-4",2023,3851 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
136,공공공지,2동탄,공공공지 61호,영천동 48-5,2023,770 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
137,공공공지,2동탄,공공공지 63호,"영천동 820-9, 820-8, 820-7",2023,5527 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
138,근린공원,2동탄,청계중앙공원,청계동 527 일원,2015,213724 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
139,근린공원,2동탄,솔향기공원(9호 근린공원),"청계동 557, 영천동 779",2015,40436 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
140,근린공원,2동탄,감배산공원(12호 근린공원),"청계동 548, 564-1",2015,5659 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
141,소공원,2동탄,감배산공원(13호 근린공원),"오산동 1022-1, 1023-3, 1004-1, 1065, 1007-1, 1018-2, 1017-2 ",2019,39928 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
142,소공원,2동탄,도담공원(6호),청계동 550-1,2015,7326 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
143,소공원,2동탄,8호 소공원(청계사랑),청계동 538-1,2016,4408 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
144,소공원,2동탄,9호 소공원(예솔),청계동 552-1,2016,4373 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
145,경관광장,2동탄,광장2호(청계광장),청계동 20번지 일원,2015,859 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
146,경관광장,2동탄,광장 3호(자라뫼광장),오산동 992-1,2018,2393 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
147,경관광장,2동탄,광장 5호,오산동 996-4,2018,2528 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
148,공공공지,2동탄,동탄2시범단지 공공공지 13호,청계동 546-1 일원,2015,2908 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
149,공공공지,2동탄,동탄2시범단지 공공공지 13호,청계동 546-1 일원,2015,4118 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
150,공공공지,2동탄,동탄2시범단지 공공공지 13호,청계동 533-1 일원,2015,2717 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
151,공공공지,2동탄,동탄2시범단지 공공공지 19호,청계동 533-1 일원,2015,593 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
152,공공공지,2동탄,동탄2시범단지 공공공지 20호,청계동 546-1 일원,2015,683 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
153,공공공지,2동탄,동탄2시범단지 공공공지 21호,청계동 546-1 일원,2015,556 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
154,공공공지,2동탄,동탄2시범단지 공공공지 35호,청계동 550-1 ,2015,5235 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
155,공공공지,2동탄,동탄2시범단지 공공공지 35호,"청계동 550-1, 청계동 546-1 ",2015,3140 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
156,공공공지,2동탄,동탄2시범단지 공공공지 35호,청계동 533-1 ,2015,3594 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
157,공공공지,2동탄,동탄2시범단지 공공공지 35호,"청계동 513-1, 512-1",2015,5335 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
158,공공공지,2동탄,동탄2시범단지 공공공지 37호,청계동 512-1 ,2015,483 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
159,공공공지,2동탄,동탄2시범단지 공공공지 38호,청계동 512-1 일원,2015,578 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
160,공공공지,2동탄,동탄2시범단지 공공공지 39호,청계동 513-1 일원,2015,478 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
161,공공공지,2동탄,동탄2시범단지 공공공지 46호,"청계동 520-1,2 일원",2015,7280 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
162,공공공지,2동탄,동탄2시범단지 공공공지 46호,"청계동 525-1,2 일원",2015,10978 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
163,공공공지,2동탄,동탄2시범단지 공공공지 46호,"청계동 546-1, 550-1 일원",2015,7008 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
