개소,공원종류,권역,공원명,위치,조성연도,  조성면적  ,관리기관,관리자 연락처,데이터기준일자
164,공공공지,2동탄,동탄2시범단지 공공공지 47호,"청계동 512-1, 512-2",2015,4540 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
165,공공공지,2동탄,동탄2시범단지 공공공지 47호,"청계동 519-1, 519-2",2015,6034 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
166,공공공지,2동탄,동탄2시범단지 공공공지 47호,"청계동 564-2, 564-3",2015,5351 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
167,공공공지,2동탄,동탄2시범단지 공공공지 48호,청계동 520-1 일원,2015,553 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
168,공공공지,2동탄,동탄2시범단지 공공공지 13호(H),청계동 552-1,2015,4031 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
169,공공공지,2동탄,동탄2시범단지 공공공지 13호(I),청계동 552-1,2015,1878 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
170,공공공지,2동탄,동탄2시범단지 공공공지 13호(J),청계동 538-1,2015,3714 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
171,공공공지,2동탄,동탄2시범단지 공공공지 13호(K),청계동 538-1,2015,1241 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
172,공공공지,2동탄,동탄2시범단지 공공공지 13호(L),청계동 557,2015,2946 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
173,공공공지,2동탄,동탄2시범단지 공공공지 13호(M),청계동 543,2015,2436 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
174,공공공지,2동탄,동탄2시범단지 공공공지 22호,청계동 538-1,2015,430 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
175,공공공지,2동탄,동탄2시범단지 공공공지 23호,청계동 552-1,2015,444 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
176,공공공지,2동탄,동탄2시범단지 공공공지 46호(A),청계동 538-1,2015,3357 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
177,공공공지,2동탄,동탄2시범단지 공공공지 46호(B),청계동 552-1,2015,1320 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
178,공공공지,2동탄,동탄2시범단지 공공공지 46호(C),청계동 557,2015,325 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
179,공공공지,2동탄,동탄2시범단지 공공공지 47호(A),청계동 510 일원,2015,1983 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
180,공공공지,2동탄,동탄2시범단지 공공공지 58호,청계동 543,2015,2555 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
181,공공공지,2동탄,동탄2지구 2-1공구 공공공지 제32호,오산동 972-2,2019,328 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
182,공공공지,2동탄,동탄2지구 2-1공구 공공공지 제33호,오산동 988-2,2019,328 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
183,공공공지,2동탄,동탄2지구 2-1공구 공공공지 제35호,오산동 972-1,2019,3802 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
184,공공공지,2동탄,동탄2지구 2-1공구 공공공지 제36호,오산동 1051-1,2019,1889 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
185,공공공지,2동탄,동탄2지구 2-1공구 공공공지 제46호,오산동 988-3,2019,4371 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
186,공공공지,2동탄,동탄2지구 공공공지 13호,"영천동 805-1, 788-1, 790-1, 793-7, 793-8  ",2019,6910 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
187,공공공지,2동탄,동탄2지구 공공공지 59호,오산동 967-1526,2019,1117 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
188,공공공지,2동탄,동탄2지구 공공공지 60호,오산동 989-2,2019,2107 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
189,공공공지,2동탄,동탄2지구 공공공지 64호,오산동 992-2,2019,599 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
190,공공공지,2동탄,동탄2지구 공공공지 65호,"오산동 999-2, 1000-2",2019,2963 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
191,공공공지,2동탄,동탄2지구 공공공지 70호,오산동 1005-1,2019,932 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
192,공공공지,2동탄,동탄2지구 공공공지 71호,"오산동 1001-2, 1011-1, 1018-1, 1017-3, 1017-5",2019,9892 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
193,공공공지,2동탄,동탄2지구 공공공지 97호,"오산동 1062-2, 990-3",2019,181 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
194,근린공원,2동탄,왕배산1호공원,"산척동 753, 오산동 1087",2019,281959 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
195,근린공원,2동탄,동탄목동공원(19호 근린공원),"목동 483-1,목동478-1",2020,95991 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
196,근린공원,2동탄,산척공원,"산척동 762, 766",2019,14741 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
197,근린공원,2동탄,신리천공원(13호 근린공원),"오산동 1082, 1085, 1044-1, 1046-1,목동398-8 일원",2018,188526 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
198,근린공원,2동탄,왕배산 2호 공원(15호 근린공원),"산척동785-1, 795",2023,251383 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
199,어린이공원,2동탄,햇살어린이공원(어린이공원 2호),목동 498,2020,2726 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
200,소공원,2동탄,달무리공원(10호 소공원),목동 493-13,2020,2468 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
201,소공원,2동탄,곱다시공원(11호 소공원),목동 480-1,2020,3489 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
202,체육공원,2동탄,체육4호공원,오산동1041-1,2018,22967 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
203,체육공원,2동탄,왕배산 체육공원,산척동 793,2020,51327 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
204,공공공지,2동탄,동탄2지구 공공공지 13호,목동 118-28번지 일원,2020,28532 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
205,공공공지,2동탄,공공공지 13호,"목동 476-2,-6,477-1,482-1,485-1,489-1,491-1,486-1,491-1,-2,495-1,산척동792-2",2023,36080 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
206,공공공지,2동탄,동탄2지구 공공공지 24호,목동 123-1번지 일원,2020,440 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
207,공공공지,2동탄,동탄2지구 공공공지 24호,목동 477-2,2023,436 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
208,공공공지,2동탄,동탄2지구 공공공지 25호,산척동 292번지 일원,2020,435 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
209,공공공지,2동탄,동탄2지구 공공공지 25호,산척동 790-10,2023,435 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
210,공공공지,2동탄,동탄2지구 공공공지 26호,산척동 287번지 일원,2020,435 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
211,공공공지,2동탄,동탄2지구 공공공지 26호,산척동 792-1,2023,435 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
212,공공공지,2동탄,동탄2지구 공공공지 27호,산척동 산120-4번지 일원,2020,384 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
213,공공공지,2동탄,동탄2지구 공공공지 27호,산척동 792-3,2023,384 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
214,공공공지,2동탄,동탄2지구 공공공지 47호,"오산동 314, 316, 1030-18, 1082, 1044-1, 1078-1, 1078-2",2019,40521 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
215,공공공지,2동탄,동탄2지구 공공공지 47호,"산척동 675-1, 677-2, 699-2 송동 692-1, 693-2",2019,40521 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
216,공공공지,2동탄,동탄2지구 공공공지 49호,오산동 1030-19,2019,1262 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
217,공공공지,2동탄,동탄2지구 공공공지 50호,송동 692-2,2019,405 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
218,공공공지,2동탄,동탄2지구 공공공지 51호,산척동 677-1,2019,487 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
219,공공공지,2동탄,동탄2지구 공공공지 52호,송동 693-1,2019,520 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
220,공공공지,2동탄,동탄2지구 공공공지 53호,산척동 699-1,2019,445 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
221,공공공지,2동탄,동탄2지구 공공공지 54호,송동 693-3,2019,407 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
222,공공공지,2동탄,동탄2지구 공공공지 55호,산척동 699-3,2019,207 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
223,공공공지,2동탄,동탄2지구 공공공지 71호,"오산동 1030-20, 1032-10,1038-10",2019,6934 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
224,공공공지,2동탄,동탄2지구 공공공지 71호,목동 산96번지 일원,2020,10231 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
225,공공공지,2동탄,동탄2지구 공공공지 71호,"목동 491-2,481-2,796-3,-2",2023,8213 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
226,공공공지,2동탄,동탄2지구 공공공지 72호,오산동 1031-16,2019,96 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
227,공공공지,2동탄,동탄2지구 공공공지 73호,"오산동1030-17 1031-17, 1036-25, 1034-7, 1031-18, 1031-19, 1035-5, 1033-10",2019,2747 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
228,공공공지,2동탄,동탄2지구 공공공지 74호,오산동 1037-1,2018,219 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
229,공공공지,2동탄,동탄2지구 공공공지 74호,오산동 1033-10,2019,282 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
230,공공공지,2동탄,동탄2지구 공공공지 75호,오산동 1036-24,2019,173 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
231,공공공지,2동탄,동탄2지구 공공공지 76호,목동 261-2번지 일원,2020,466 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
232,공공공지,2동탄,동탄2지구 공공공지 77호,목동 463-10번지 일원,2020,383 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
233,공공공지,2동탄,동탄2지구 공공공지 79호,"산척동 688-6,693-7",2019,1562 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
234,공공공지,2동탄,동탄2지구 공공공지 80호,산척동 696-6,2019,519 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
235,공공공지,2동탄,동탄2지구 공공공지 81호,"송동 689-1,693-4, 산척동 699-4, 705-1,716-10, 718-1,719-1,720-1,721-1,722-1",2019,15671 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
236,근린공원,2동탄,산척에움길공원,산척동 730-1,2019,10694 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
237,근린공원,2동탄,송동공원,"장지동 1066, 1068(동탄8동주민자치센터옆), 914-1 ",2019,62871 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
238,근린공원,2동탄,장지이웃공원,장지동 1064,2019,15262 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
239,근린공원,2동탄,장지2호공원,장지동 1088,2019,23950 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
240,근린공원,2동탄,장지1호공원,"장지동 1073, 1010-1, 1010-2, 1011-1, 산척동 783",2019,15651 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
241,근린공원,2동탄,물류단지내 근린공원,신동 703-4번지,2018,19903 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
242,근린공원,2동탄,태봉산공원,"송동 682-4,송동 730",2019,19154 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
243,근린공원,2동탄,배마루공원,"송동 691-1, 송동 687-4",2019,20441 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
244,어린이공원,2동탄,소라어린이공원,송동 711-6,2019,724 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
245,어린이공원,2동탄,도란어린이공원,장지동 939-5,2019,1543 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
246,어린이공원,2동탄,꽃다지어린이공원,장지동 962-9,2019,1544 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
247,어린이공원,2동탄,꽃마리어린이공원,장지동 1017-6,2019,2336 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
248,어린이공원,2동탄,아람어린이공원,장지동 998-7,2019,1605 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
249,어린이공원,2동탄,달빛어린이공원,장지동 1029-3,2019,1519 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
250,어린이공원,2동탄,샛별어린이공원(어린이3호),산척동 807-10,2022,3197 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
251,어린이공원,2동탄,생글어린이공원(어린이공원 4호),산척동 827-1,2021,4440 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
252,소공원,2동탄,고샅공원,송동 701,2019,409 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
253,소공원,2동탄,장지빛공원,장지동 1002-7,2019,686 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
254,소공원,2동탄,오순공원,장지동 923-1,2019,734 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
255,소공원,2동탄,도순공원,장지동 928-3,2019,1150 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
256,소공원,2동탄,효행공원,장지동 977-1,2019,4702 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
257,소공원,2동탄,노을공원,장지동 983-8,2019,736 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
258,소공원,2동탄,22호 소공원,장지동 999-1,2019,330 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
259,소공원,2동탄,물류단지내 소공원,신동 703-4번지,2018,4803 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
260,소공원,2동탄,제15호 소공원(하늬공원),장지동 1114,2020,1375 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
261,체육공원,2동탄,장지체육공원,장지동 974,2017,36025 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
262,공공공지,2동탄,동탄2지구 공공공지 3호,"송동 697-8,703-17,704-18,717-10",2019,6475 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
263,공공공지,2동탄,동탄2지구 공공공지 13호,장지동 일원,2019,3870 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
264,공공공지,2동탄,동탄2지구 공공공지 13호,"산척동 729-1,730-2,733-1 749-1 장지동 968-3,969-1,750-1,",2019,9577 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
265,공공공지,2동탄,동탄2지구 공공공지 28호,송동 725-13,2019,410 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
266,공공공지,2동탄,동탄2지구 공공공지 29호,장지동 924-2,2019,231 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
267,공공공지,2동탄,동탄2지구 공공공지 30호,장지동 968-2,2019,329 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
268,공공공지,2동탄,동탄2지구 공공공지 34호,장지동 1053,2019,7360 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
269,공공공지,2동탄,동탄2지구 공공공지 3호,"장지동 912-10,915-1,945-1,943-14,947-3,948-1,1043-2",2019,6475 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
270,공공공지,2동탄,동탄2지구 공공공지 47호,"장지동 963-1, 928-1, 964-1, 966-2, 968-1, 924-3 ",2019,12913 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
271,공공공지,2동탄,동탄2지구 공공공지 56호,장지동 966-1,2019,503 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
272,공공공지,2동탄,동탄2지구 공공공지 57호,장지동 964-2,2019,461 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
273,공공공지,2동탄,동탄2지구 공공공지 67호,송동 681-450,2019,3917 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
274,공공공지,2동탄,공공공지 71호,"산척동 801-1, 802-1",2023,2588 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
275,공공공지,2동탄,동탄2지구 공공공지 81호,송동 695-1,2020,3662 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
276,공공공지,2동탄,동탄2지구 공공공지 84호,"장지동 921-1,922-1,924-1",2019,10063 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
277,공공공지,2동탄,동탄2지구 공공공지 85호,송동 697-9,2019,95 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
278,공공공지,2동탄,동탄2지구 공공공지 87호,-,2019,96 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
279,공공공지,2동탄,공공공지 87호,"장지동 1127,1128,1129,1129-3",2023,5606 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
280,공공공지,2동탄,동탄2지구 공공공지 88호,장지동 910-196 일원,2019,467 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
281,공공공지,2동탄,동탄2지구 공공공지 47호,"청계동 512-1,519-2,520-1,564-2, 오산동 1078-2",2019,40521 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
282,공공공지,2동탄,동탄2지구 공공공지 90호,"장지동 1100,1024-1,1042,944-2, 1038,1040,1048,1049,1059,1060, ",2019,64773 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
283,공공공지,2동탄,동탄2지구 공공공지 91호,"장지동 1031-13, 1028-7",2019,992 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
284,공공공지,2동탄,동탄2지구 공공공지 92호,"장지동 1025-4, 1026-4, 1027-9, 1032-4, 933-14, 933-15",2019,8064 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
285,공공공지,2동탄,동탄2지구 공공공지 93호,장지동 971-8,2019,2829 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
286,공공공지,2동탄,동탄2지구 공공공지 94호,"장지동 1022-8, 977-2, 983-9, 991-8, 1000-12, 1004-5",2019,12318 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
287,공공공지,2동탄,동탄2지구 공공공지 95호,"장지동 1012-1, 1011-3",2019,383 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
288,공공공지,2동탄,동탄2지구 공공공지 98호,송동 682-3,2019,3349 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
289,근린공원,1동탄,구봉산근린공원,병점동 865 일원,2004,99366 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
290,근린공원,1동탄,병점근린공원,병점동 823 일원,2004,49171 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
291,근린공원,1동탄,반달중앙공원,반월동 880-5 일원,2007,10289 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
292,근린공원,1동탄,행복근린공원,반월동 875 일원(동탄지성로 312),2007,14215 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
293,근린공원,1동탄,다람산공원,진안동 141 일원,2008,70881 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
294,근린공원,1동탄,새봄공원(1호근린공원),병점동 756-33 일원(롯데 캐슬),2021,19263 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
295,근린공원,1동탄,반월3지구 나노시티파크,반월동 564-6 일원,2022,24052 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
296,근린공원,1동탄,반월물빛공원,반월동 34-2,2023,10222 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
297,근린공원,1동탄,노을공원(병점 근린공원),"병점동 900, -1",2023,38019 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
298,근린공원,1동탄,능동 근린공원,능동 666-1번지 일원,2023,19659 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
299,어린이공원,1동탄,종이비행기 어린이공원,진안동 855-3,2006,1535 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
300,어린이공원,1동탄,색종이 어린이공원,진안동 861-1,2006,1484 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
301,어린이공원,1동탄,숨바꼭질 어린이공원,진안동 866-6,2006,1450 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
302,어린이공원,1동탄,물빛 어린이공원,진안동 887-1,2006,2155 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
303,어린이공원,1동탄,느티 어린이공원,진안동 920,2004,1506 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
304,어린이공원,1동탄,은행 어린이공원,진안동 916-1,2004,1655 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
305,어린이공원,1동탄,산수유 어린이공원,진안동 912-1,2004,1513 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
306,어린이공원,1동탄,회화 어린이공원,병점동 847-1,2004,1501 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
307,어린이공원,1동탄,장미 어린이공원,병점동 855,2004,3222 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
308,어린이공원,1동탄,매화 어린이공원,병점동 857,2004,2181 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
309,어린이공원,1동탄,정든 어린이공원,병점동 858-1,2004,1500 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
310,어린이공원,1동탄,목련 어린이공원,병점동 859-4,2004,1646 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
311,어린이공원,1동탄,살구꽃 어린이공원,병점동 863-1,2004,1500 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
312,어린이공원,1동탄,철쭉 어린이공원,진안동 909-1,2004,2044 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
313,어린이공원,1동탄,안화 어린이공원,병점동 840,2004,1552 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
314,어린이공원,1동탄,해당화 어린이공원,병점동 838,2004,1524 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
315,어린이공원,1동탄,느치미 어린이공원,병점동 835-2,2004,1506 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
316,어린이공원,1동탄,햇빛 어린이공원 (반월1호),반월동 184-3 일원,2002,6768 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
317,어린이공원,1동탄,사랑 어린이공원 (반월2호),반월동 859,2002,3270 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
318,어린이공원,1동탄,꿈나라 어린이공원 (반월3호),반월동 167-1일원,2002,1735 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
319,어린이공원,1동탄,자연 어린이공원 (반월4호),반월동 184-5,2002,1405 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
320,어린이공원,1동탄,해오름 어린이공원 (반월5호),반월동 144-15,2002,1471 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
321,어린이공원,1동탄,반달 어린이공원 (두산1호),반월동 881-2일원,2007,5061 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
322,어린이공원,1동탄,율목 어린이공원 (두산2호),반월동 883-1,2007,6947 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
323,어린이공원,1동탄,푸르지오 어린이공원(당굴공원),반월동 885-1,2007,9415 ,화성도시공사 공원관리1부,031-267-1286,2024-12-31
